Time,Oxygen Level,Pulse Rate,Motion,O2 Reminder,PR Reminder
23:13:24 Feb 27 2024,94,73,0,0,0
23:13:28 Feb 27 2024,94,73,0,0,0
23:13:32 Feb 27 2024,94,72,0,0,0
23:13:36 Feb 27 2024,93,70,0,0,0
23:13:40 Feb 27 2024,93,71,0,0,0
23:13:44 Feb 27 2024,93,71,0,0,0
23:13:48 Feb 27 2024,93,71,0,0,0
23:13:52 Feb 27 2024,93,72,0,0,0
23:13:56 Feb 27 2024,93,72,0,0,0
23:14:00 Feb 27 2024,93,73,0,0,0
23:14:04 Feb 27 2024,93,73,0,0,0
23:14:08 Feb 27 2024,94,72,0,0,0
23:14:12 Feb 27 2024,93,71,0,0,0
23:14:16 Feb 27 2024,93,71,0,0,0
23:14:20 Feb 27 2024,93,71,0,0,0
23:14:24 Feb 27 2024,94,72,0,0,0
23:14:28 Feb 27 2024,94,71,0,0,0
23:14:32 Feb 27 2024,94,71,0,0,0
23:14:36 Feb 27 2024,94,73,0,0,0
23:14:40 Feb 27 2024,94,73,0,0,0
23:14:44 Feb 27 2024,94,73,0,0,0
23:14:48 Feb 27 2024,93,72,0,0,0
23:14:52 Feb 27 2024,93,71,0,0,0
23:14:56 Feb 27 2024,94,70,0,0,0
23:15:00 Feb 27 2024,94,71,0,0,0
23:15:04 Feb 27 2024,94,71,0,0,0
23:15:08 Feb 27 2024,94,71,0,0,0
23:15:12 Feb 27 2024,93,71,0,0,0
23:15:16 Feb 27 2024,94,73,0,0,0
23:15:20 Feb 27 2024,94,75,0,0,0
23:15:24 Feb 27 2024,94,73,0,0,0
23:15:28 Feb 27 2024,93,71,0,0,0
23:15:32 Feb 27 2024,93,73,0,0,0
23:15:36 Feb 27 2024,93,73,0,0,0
23:15:40 Feb 27 2024,93,72,0,0,0
23:15:44 Feb 27 2024,93,73,0,0,0
23:15:48 Feb 27 2024,93,72,0,0,0
23:15:52 Feb 27 2024,93,71,0,0,0
23:15:56 Feb 27 2024,93,73,0,0,0
23:16:00 Feb 27 2024,93,74,0,0,0
23:16:04 Feb 27 2024,93,73,0,0,0
23:16:08 Feb 27 2024,92,73,0,0,0
23:16:12 Feb 27 2024,92,74,0,0,0
23:16:16 Feb 27 2024,93,73,0,0,0
23:16:20 Feb 27 2024,93,72,0,0,0
23:16:24 Feb 27 2024,93,73,0,0,0
23:16:28 Feb 27 2024,93,73,0,0,0
23:16:32 Feb 27 2024,93,72,0,0,0
23:16:36 Feb 27 2024,93,72,0,0,0
23:16:40 Feb 27 2024,93,73,0,0,0
23:16:44 Feb 27 2024,93,73,0,0,0
23:16:48 Feb 27 2024,93,73,0,0,0
23:16:52 Feb 27 2024,93,73,0,0,0
23:16:56 Feb 27 2024,93,72,0,0,0
23:17:00 Feb 27 2024,93,73,0,0,0
23:17:04 Feb 27 2024,93,73,0,0,0
23:17:08 Feb 27 2024,92,73,0,0,0
23:17:12 Feb 27 2024,92,73,0,0,0
23:17:16 Feb 27 2024,93,74,0,0,0
23:17:20 Feb 27 2024,93,73,0,0,0
23:17:24 Feb 27 2024,93,74,0,0,0
23:17:28 Feb 27 2024,92,74,0,0,0
23:17:32 Feb 27 2024,92,73,0,0,0
23:17:36 Feb 27 2024,92,72,0,0,0
23:17:40 Feb 27 2024,93,71,0,0,0
23:17:44 Feb 27 2024,93,72,0,0,0
23:17:48 Feb 27 2024,93,73,0,0,0
23:17:52 Feb 27 2024,93,73,0,0,0
23:17:56 Feb 27 2024,93,73,0,0,0
23:18:00 Feb 27 2024,93,73,0,0,0
23:18:04 Feb 27 2024,93,73,0,0,0
23:18:08 Feb 27 2024,93,73,0,0,0
23:18:12 Feb 27 2024,93,74,0,0,0
23:18:16 Feb 27 2024,93,74,0,0,0
23:18:20 Feb 27 2024,93,73,0,0,0
23:18:24 Feb 27 2024,94,72,0,0,0
23:18:28 Feb 27 2024,94,71,0,0,0
23:18:32 Feb 27 2024,93,71,0,0,0
23:18:36 Feb 27 2024,93,74,0,0,0
23:18:40 Feb 27 2024,93,75,0,0,0
23:18:44 Feb 27 2024,94,74,0,0,0
23:18:48 Feb 27 2024,94,71,0,0,0
23:18:52 Feb 27 2024,93,70,0,0,0
23:18:56 Feb 27 2024,93,71,0,0,0
23:19:00 Feb 27 2024,93,72,0,0,0
23:19:04 Feb 27 2024,93,72,0,0,0
23:19:08 Feb 27 2024,93,72,0,0,0
23:19:12 Feb 27 2024,93,73,0,0,0
23:19:16 Feb 27 2024,93,74,0,0,0
23:19:20 Feb 27 2024,93,73,0,0,0
23:19:24 Feb 27 2024,93,72,0,0,0
23:19:28 Feb 27 2024,93,72,0,0,0
23:19:32 Feb 27 2024,93,73,0,0,0
23:19:36 Feb 27 2024,93,73,0,0,0
23:19:40 Feb 27 2024,93,72,0,0,0
23:19:44 Feb 27 2024,93,73,0,0,0
23:19:48 Feb 27 2024,94,72,0,0,0
23:19:52 Feb 27 2024,93,71,0,0,0
23:19:56 Feb 27 2024,94,72,0,0,0
23:20:00 Feb 27 2024,94,71,0,0,0
23:20:04 Feb 27 2024,94,72,0,0,0
23:20:08 Feb 27 2024,93,72,0,0,0
23:20:12 Feb 27 2024,93,72,0,0,0
23:20:16 Feb 27 2024,94,72,0,0,0
23:20:20 Feb 27 2024,94,73,0,0,0
23:20:24 Feb 27 2024,94,72,0,0,0
23:20:28 Feb 27 2024,93,72,0,0,0
23:20:32 Feb 27 2024,93,73,0,0,0
23:20:36 Feb 27 2024,93,72,0,0,0
23:20:40 Feb 27 2024,93,72,0,0,0
23:20:44 Feb 27 2024,93,72,0,0,0
23:20:48 Feb 27 2024,93,71,0,0,0
23:20:52 Feb 27 2024,93,71,0,0,0
23:20:56 Feb 27 2024,93,71,0,0,0
23:21:00 Feb 27 2024,93,72,0,0,0
23:21:04 Feb 27 2024,94,73,0,0,0
23:21:08 Feb 27 2024,94,73,0,0,0
23:21:12 Feb 27 2024,94,72,0,0,0
23:21:16 Feb 27 2024,93,71,0,0,0
23:21:20 Feb 27 2024,93,72,0,0,0
23:21:24 Feb 27 2024,93,73,0,0,0
23:21:28 Feb 27 2024,94,73,0,0,0
23:21:32 Feb 27 2024,94,73,0,0,0
23:21:36 Feb 27 2024,94,73,0,0,0
23:21:40 Feb 27 2024,93,72,0,0,0
23:21:44 Feb 27 2024,93,72,0,0,0
23:21:48 Feb 27 2024,93,72,0,0,0
23:21:52 Feb 27 2024,93,71,0,0,0
23:21:56 Feb 27 2024,93,72,0,0,0
23:22:00 Feb 27 2024,93,73,0,0,0
23:22:04 Feb 27 2024,93,73,0,0,0
23:22:08 Feb 27 2024,92,72,0,0,0
23:22:12 Feb 27 2024,92,71,0,0,0
23:22:16 Feb 27 2024,92,71,0,0,0
23:22:20 Feb 27 2024,93,71,0,0,0
23:22:24 Feb 27 2024,93,70,0,0,0
23:22:28 Feb 27 2024,92,70,0,0,0
23:22:32 Feb 27 2024,92,70,0,0,0
23:22:36 Feb 27 2024,93,72,0,0,0
23:22:40 Feb 27 2024,93,72,0,0,0
23:22:44 Feb 27 2024,94,70,0,0,0
23:22:48 Feb 27 2024,93,69,0,0,0
23:22:52 Feb 27 2024,93,71,0,0,0
23:22:56 Feb 27 2024,93,72,0,0,0
23:23:00 Feb 27 2024,93,73,0,0,0
23:23:04 Feb 27 2024,92,72,0,0,0
23:23:08 Feb 27 2024,92,73,0,0,0
23:23:12 Feb 27 2024,92,74,0,0,0
23:23:16 Feb 27 2024,92,72,0,0,0
23:23:20 Feb 27 2024,92,71,0,0,0
23:23:24 Feb 27 2024,92,72,0,0,0
23:23:28 Feb 27 2024,93,73,0,0,0
23:23:32 Feb 27 2024,93,72,0,0,0
23:23:36 Feb 27 2024,93,71,0,0,0
23:23:40 Feb 27 2024,93,70,0,0,0
23:23:44 Feb 27 2024,93,70,0,0,0
23:23:48 Feb 27 2024,92,70,0,0,0
23:23:52 Feb 27 2024,92,71,0,0,0
23:23:56 Feb 27 2024,93,72,0,0,0
23:24:00 Feb 27 2024,93,72,0,0,0
23:24:04 Feb 27 2024,93,73,0,0,0
23:24:08 Feb 27 2024,92,73,0,0,0
23:24:12 Feb 27 2024,93,73,0,0,0
23:24:16 Feb 27 2024,93,73,0,0,0
23:24:20 Feb 27 2024,93,72,0,0,0
23:24:24 Feb 27 2024,93,71,0,0,0
23:24:28 Feb 27 2024,93,70,0,0,0
23:24:32 Feb 27 2024,93,70,0,0,0
23:24:36 Feb 27 2024,93,71,0,0,0
23:24:40 Feb 27 2024,94,72,0,0,0
23:24:44 Feb 27 2024,94,72,0,0,0
23:24:48 Feb 27 2024,94,71,0,0,0
23:24:52 Feb 27 2024,93,71,0,0,0
23:24:56 Feb 27 2024,93,71,0,0,0
23:25:00 Feb 27 2024,93,72,0,0,0
23:25:04 Feb 27 2024,93,72,0,0,0
23:25:08 Feb 27 2024,93,73,0,0,0
23:25:12 Feb 27 2024,93,73,0,0,0
23:25:16 Feb 27 2024,94,71,0,0,0
23:25:20 Feb 27 2024,93,71,0,0,0
23:25:24 Feb 27 2024,93,71,0,0,0
23:25:28 Feb 27 2024,93,70,0,0,0
23:25:32 Feb 27 2024,93,71,0,0,0
23:25:36 Feb 27 2024,93,73,0,0,0
23:25:40 Feb 27 2024,93,73,0,0,0
23:25:44 Feb 27 2024,93,72,0,0,0
23:25:48 Feb 27 2024,93,72,0,0,0
23:25:52 Feb 27 2024,93,72,0,0,0
23:25:56 Feb 27 2024,93,72,0,0,0
23:26:00 Feb 27 2024,93,72,0,0,0
23:26:04 Feb 27 2024,93,71,0,0,0
23:26:08 Feb 27 2024,93,71,0,0,0
23:26:12 Feb 27 2024,93,72,0,0,0
23:26:16 Feb 27 2024,93,73,0,0,0
23:26:20 Feb 27 2024,93,72,0,0,0
23:26:24 Feb 27 2024,93,72,0,0,0
23:26:28 Feb 27 2024,93,73,0,0,0
